userId,rarity_count
3197,20
8901,20
14758,20
17835,20
18812,20
20942,20
27569,20
28384,20
34534,20
46351,20
47608,20
71078,20
78195,20
78971,20
79352,20
79839,20
87505,20
91562,20
93455,20
96145,20
98429,20
98951,20
101055,20
106951,20
108785,20
110754,20
118020,20
120892,20
127171,20
127452,20
128623,20
134989,20
142275,20
156523,20
161180,20
162646,20
166792,20
172034,20
181612,20
188453,20
610,19
7858,19
8120,19
14849,19
15476,19
15658,19
17897,19
21485,19
23481,19
23833,19
24519,19
25099,19
29506,19
30481,19
38905,19
38916,19
39321,19
41118,19
42745,19
48454,19
50594,19
55353,19
58131,19
58931,19
59212,19
60397,19
63605,19
63730,19
64710,19
64972,19
65458,19
69493,19
69807,19
75242,19
75542,19
80037,19
80652,19
81266,19
81821,19
82473,19
85650,19
90509,19
91197,19
96034,19
97187,19
98546,19
101466,19
101752,19
104709,19
107572,19
108605,19
109105,19
109730,19
110084,19
110826,19
110910,19
114497,19
115957,19
116269,19
117031,19
118142,19
119176,19
119247,19
123465,19
126295,19
127288,19
128252,19
136391,19
136855,19
141628,19
142331,19
146749,19
148489,19
148732,19
149707,19
151624,19
152048,19
160511,19
161017,19
161149,19
161874,19
162088,19
163044,19
165161,19
168190,19
171459,19
175063,19
177784,19
179905,19
180257,19
182024,19
186256,19
186566,19
187997,19
189305,19
189715,19
190330,19
190473,19
192298,19
197309,19
198194,19
198196,19
199908,19
2164,18
5277,18
6202,18
6213,18
7569,18
8194,18
10403,18
12154,18
14636,18
16050,18
18030,18
21390,18
23126,18
24136,18
25594,18
25749,18
26894,18
27232,18
28284,18
29361,18
29443,18
30349,18
31045,18
32291,18
33999,18
34665,18
36223,18
36926,18
38829,18
47772,18
48581,18
50840,18
51324,18
52801,18
53782,18
58052,18
61189,18
64171,18
65905,18
68561,18
68677,18
69279,18
70490,18
71523,18
71851,18
73477,18
73604,18
73671,18
76253,18
76333,18
80183,18
80254,18
81938,18
81982,18
82784,18
82848,18
84193,18
84490,18
85379,18
87642,18
87691,18
90524,18
91118,18
91734,18
91911,18
92476,18
96872,18
97973,18
98141,18
102028,18
103184,18
104914,18
105584,18
106439,18
107263,18
108222,18
109390,18
110708,18
115556,18
117859,18
119047,18
120013,18
120445,18
121969,18
126318,18
126465,18
126996,18
127336,18
128581,18
131193,18
134107,18
136643,18
138759,18
139018,18
140162,18
141600,18
141942,18
143772,18
146268,18
149186,18
152507,18
153505,18
153595,18
154558,18
155233,18
156882,18
163484,18
165403,18
166482,18
168454,18
168506,18
169955,18
170649,18
170683,18
173704,18
174101,18
174239,18
176969,18
177614,18
178578,18
179712,18
179887,18
182009,18
182776,18
187060,18
187272,18
188519,18
190579,18
192529,18
193912,18
195539,18
195607,18
196215,18
197853,18
197953,18
199478,18
725,17
1442,17
1932,17
1996,17
3144,17
3319,17
6076,17
9898,17
10615,17
11403,17
11579,17
13896,17
13970,17
14547,17
14607,17
14924,17
15030,17
15516,17
16439,17
16718,17
18279,17
18699,17
19420,17
19751,17
20406,17
20413,17
20480,17
20546,17
20727,17
22470,17
22505,17
22830,17
24216,17
24357,17
24909,17
24961,17
25137,17
25678,17
26350,17
26428,17
28559,17
29577,17
30649,17
30887,17
31296,17
33170,17
35745,17
36362,17
36490,17
42248,17
42467,17
43158,17
43703,17
45585,17
46405,17
48764,17
49204,17
50211,17
50511,17
50732,17
51131,17
51380,17
51532,17
54778,17
57780,17
57830,17
58422,17
58528,17
58534,17
59277,17
60452,17
60849,17
61670,17
61900,17
63688,17
67453,17
67724,17
68514,17
70300,17
70323,17
71689,17
71731,17
72228,17
72781,17
73087,17
73706,17
75163,17
75629,17
76309,17
76739,17
77087,17
78012,17
80365,17
81777,17
83411,17
83947,17
84075,17
85081,17
85787,17
87318,17
89736,17
90159,17
91178,17
91621,17
92213,17
92775,17
92886,17
93471,17
93683,17
93878,17
94687,17
95625,17
103362,17
103500,17
103711,17
104080,17
106116,17
106566,17
109024,17
109034,17
110818,17
112015,17
112290,17
113076,17
114439,17
114844,17
115950,17
117169,17
117321,17
117375,17
120012,17
120531,17
121084,17
124415,17
125839,17
126053,17
127375,17
127864,17
129352,17
130837,17
132006,17
132133,17
133237,17
135619,17
137618,17
138003,17
139689,17
139812,17
139975,17
141225,17
144191,17
144357,17
144448,17
144844,17
144917,17
145377,17
146879,17
148274,17
148507,17
148704,17
149162,17
149698,17
150815,17
151397,17
157107,17
157734,17
157812,17
159887,17
159988,17
160123,17
160318,17
161437,17
162318,17
162919,17
163336,17
164043,17
164660,17
164762,17
164936,17
165131,17
165448,17
165772,17
166878,17
167415,17
167622,17
168166,17
169959,17
170074,17
170830,17
171489,17
172202,17
173100,17
173791,17
174927,17
175331,17
176242,17
176816,17
178709,17
179210,17
179998,17
181418,17
183157,17
185739,17
186675,17
188378,17
191068,17
192407,17
192728,17
193496,17
194617,17
194673,17
194980,17
196430,17
197443,17
197906,17
197912,17
200088,17
200488,17
200546,17
200651,17
261,16
316,16
1079,16
2068,16
2829,16
3302,16
6198,16
6541,16
7421,16
8121,16
8484,16
10728,16
11188,16
12554,16
12681,16
13250,16
13279,16
13366,16
13517,16
14572,16
15840,16
16969,16
16981,16
16982,16
17095,16
17735,16
18081,16
19983,16
21622,16
21796,16
21917,16
24279,16
24344,16
24917,16
25645,16
26201,16
28037,16
28628,16
29993,16
31054,16
31881,16
32699,16
33205,16
33997,16
34436,16
34511,16
34595,16
35198,16
37360,16
38665,16
39985,16
41001,16
41859,16
42035,16
42576,16
43154,16
45816,16
46428,16
47096,16
49590,16
50083,16
50572,16
51034,16
51832,16
54938,16
55197,16
56284,16
57186,16
58237,16
59313,16
60903,16
61488,16
61896,16
63314,16
63644,16
64244,16
64252,16
64511,16
64527,16
64615,16
64730,16
64907,16
65121,16
65756,16
66803,16
69023,16
69104,16
70427,16
70874,16
70894,16
71795,16
72479,16
72644,16
73836,16
73907,16
74913,16
75677,16
76393,16
76452,16
79537,16
79923,16
82599,16
83000,16
83227,16
84277,16
84402,16
86593,16
86937,16
87675,16
88357,16
88973,16
91287,16
91997,16
92647,16
92922,16
93465,16
94420,16
94528,16
96353,16
99033,16
99172,16
101025,16
101070,16
101200,16
101370,16
102287,16
103361,16
103868,16
105607,16
106696,16
107226,16
107408,16
108022,16
108528,16
108981,16
109283,16
109719,16
110276,16
110329,16
110450,16
110596,16
